nameWithOwner,stargazerCount,releases,pushedAt,primaryLanguage,closedIssues,totalIssues
traefik/traefik,64521,553,2026-08-20T15:04:09Z,Go,6136,6830
warpdotdev/warp,64408,56,2026-08-20T23:59:27Z,Rust,7004,10824
tw93/Mole,64373,61,2026-08-17T19:11:17Z,Shell,895,904
ryanoasis/nerd-fonts,64326,39,2026-08-10T11:01:16Z,CSS,1143,1158
keras-team/keras,64241,93,2026-08-20T21:10:59Z,Python,12740,12877
scrapy/scrapy,63978,53,2026-08-20T22:03:51Z,Python,3039,3302
rust-lang/rustlings,63910,46,2026-08-11T11:46:06Z,Rust,746,770
mem0ai/mem0,63706,381,2026-08-20T17:43:45Z,Python,1849,2103
ZhuLinsen/daily_stock_analysis,63498,34,2026-08-20T17:06:56Z,Python,781,819
FFmpeg/FFmpeg,63478,0,2026-08-20T12:53:05Z,C,0,0
commaai/openpilot,63459,63,2026-08-20T23:57:11Z,Python,3223,3302
tldr-pages/tldr,63442,6,2026-08-20T16:38:32Z,Markdown,1559,1791
asgeirtj/system_prompts_leaks,63255,0,2026-08-20T09:14:20Z,JavaScript,41,62
NanmiCoder/MediaCrawler,63239,0,2026-08-14T08:19:00Z,Python,466,626
socketio/socket.io,63191,98,2026-07-24T14:44:59Z,TypeScript,3500,3664
virattt/ai-hedge-fund,62968,11,2026-08-07T17:21:58Z,Python,227,279
resume/resume.github.com,62883,0,2023-02-15T06:38:51Z,JavaScript,67,131
jgraph/drawio-desktop,62708,187,2026-08-20T23:35:48Z,JavaScript,1798,1805
git/git,62687,0,2026-08-20T22:20:31Z,C,0,0
pathwaycom/pathway,62412,89,2026-08-20T05:39:18Z,Python,142,171
usememos/memos,62392,96,2026-08-20T15:37:04Z,Go,3019,3043
topjohnwu/Magisk,62316,156,2026-08-20T21:36:51Z,Kotlin,6574,6612
karpathy/nanoGPT,62253,0,2025-11-12T19:52:34Z,Python,115,363
youngyangyang04/leetcode-master,62228,0,2026-08-03T02:57:08Z,Shell,68,281
withastro/astro,61898,1000,2026-08-20T22:53:39Z,TypeScript,6534,6557
PlexPt/awesome-chatgpt-prompts-zh,61708,0,2026-04-28T10:52:14Z,,62,102
sansan0/TrendRadar,61630,0,2026-07-17T13:54:28Z,Python,460,496
reduxjs/redux,61509,78,2026-08-20T02:41:39Z,TypeScript,2038,2077
